Symbol,Observations,Recovery_Rate,Volatility,Avg_Overnight_Gap,Avg_Intraday_Return,MC_P_Value,MC_P_Value_Corrected,Statistically_Significant,Breaches_68,Recovery_Rate_68,Effectiveness_68,Breaches_90,Recovery_Rate_90,Effectiveness_90,Breaches_95,Recovery_Rate_95,Effectiveness_95,Breaches_99,Recovery_Rate_99,Effectiveness_99
AAPL,754,0.8315649867374005,0.28123874783214975,-0.0005003749832718632,0.001067450118511885,0.0,0.0,True,102,0.3627450980392157,0.3172549019607843,26,0.19230769230769232,0.7076923076923077,10,0.2,0.75,7,0.2857142857142857,0.7042857142857143
MSFT,754,0.8421750663129973,0.25817489610855515,0.0005170273647847595,0.0004095705472057851,0.0,0.0,True,101,0.3564356435643564,0.32356435643564363,31,0.22580645161290322,0.6741935483870968,13,0.07692307692307693,0.8730769230769231,7,0.0,0.99
GOOGL,754,0.8355437665782494,0.314277731559138,7.357606008243321e-05,0.0009066087099029003,0.0,0.0,True,167,0.4550898203592814,0.22491017964071858,52,0.3076923076923077,0.5923076923076923,21,0.23809523809523808,0.7119047619047618,8,0.125,0.865
TSLA,754,0.8183023872679045,0.6231794634050809,0.000571932363500233,0.00037946095995348566,0.0,0.0,True,255,0.5411764705882353,0.1388235294117648,69,0.2463768115942029,0.6536231884057971,47,0.14893617021276595,0.801063829787234,20,0.15,0.84
NVDA,754,0.8527851458885941,0.5308567160591604,0.002211892576721708,0.001444750068125958,0.0,0.0,True,159,0.5157232704402516,0.16427672955974848,20,0.2,0.7000000000000001,9,0.0,0.95,3,0.0,0.99
AMZN,754,0.8275862068965517,0.34212885860237374,0.0005966572133777974,0.00036246367483181796,0.0,0.0,True,133,0.43609022556390975,0.2439097744360903,26,0.3076923076923077,0.5923076923076923,16,0.25,0.7,7,0.0,0.99
META,754,0.8514588859416445,0.4314423230379201,0.0012592755501107298,0.0011542354128553384,0.0,0.0,True,102,0.4215686274509804,0.2584313725490196,38,0.18421052631578946,0.7157894736842105,25,0.16,0.7899999999999999,4,0.0,0.99
SPY,754,0.8381962864721485,0.17221542380810864,0.0003181630877802477,0.0003246579733950818,0.0,0.0,True,70,0.35714285714285715,0.32285714285714284,12,0.4166666666666667,0.4833333333333333,8,0.25,0.7,5,0.2,0.79
QQQ,754,0.8249336870026526,0.22041416530499816,0.0004962254827019633,0.00038381293091937954,0.0,0.0,True,74,0.2972972972972973,0.3827027027027027,15,0.13333333333333333,0.7666666666666667,8,0.125,0.825,4,0.0,0.99
